"Time Stamp,""Umidade do ar"",""Temperatura do ar"",""Umidade do solo Z1 RAW"",""Umidade do solo Z1 %"",""Umidade do solo Z2 RAW"",""Umidade do solo Z2 %"",""Temperatura do solo"""
01/01/2020 00:00,99.9,22.9,18895,34.1,22417,27,24.2
01/01/2020 00:30,99.9,22.6,18916,34,22442,27,24
01/01/2020 01:00,99.9,22.5,18968,33.9,22505,26.9,23.7
01/01/2020 01:30,99.9,22.4,18985,33.9,22528,26.8,23.4
01/01/2020 02:00,99.9,22.3,18938,34,22492,26.9,23.2
01/01/2020 02:30,99.9,22.2,18984,33.9,22517,26.8,22.9
01/01/2020 03:00,99.9,22,18997,33.9,22576,26.7,22.7
01/01/2020 03:30,99.9,21.8,18993,33.9,22579,26.7,22.5
01/01/2020 04:00,99.9,21.7,19009,33.9,22599,26.7,22.4
01/01/2020 04:30,99.9,21.5,19008,33.9,22604,26.7,22.1
01/01/2020 05:00,99.9,21.3,18986,33.9,22593,26.7,22.1
01/01/2020 05:30,99.9,21.3,18995,33.9,22603,26.7,21.9
01/01/2020 06:00,99.9,21.5,19008,33.9,22619,26.6,21.8
01/01/2020 06:30,99.9,22.2,19008,33.9,22623,26.6,21.6
01/01/2020 07:00,99.8,23.3,19035,33.8,22635,26.6,21.4
01/01/2020 07:30,98.5,24,19025,33.8,22603,26.7,21.6
01/01/2020 08:00,97.4,24.7,19036,33.8,22593,26.7,21.8
01/01/2020 08:30,96.4,25.6,19044,33.8,22571,26.7,22.1
01/01/2020 09:00,95.6,26.4,19056,33.8,22552,26.8,22.6
01/01/2020 09:30,94.3,27.2,19053,33.8,22506,26.9,22.9
01/01/2020 10:00,93.1,28.4,19062,33.7,22493,26.9,23.6
01/01/2020 10:30,92.9,28.2,19053,33.8,22457,27,24.2
01/01/2020 11:00,91.8,29.1,19069,33.7,22449,27,24.8
01/01/2020 11:30,90.5,30.1,19094,33.7,22453,27,25.2
01/01/2020 12:00,88.5,30.5,19068,33.7,22403,27.1,25.9
01/01/2020 12:30,83.5,30.8,19056,33.8,22377,27.1,26.4
01/01/2020 13:00,76.1,31.5,19097,33.7,22397,27.1,27.1
01/01/2020 13:30,72.5,32.9,19106,33.7,22390,27.1,27.6
01/01/2020 14:30,66,32.5,19147,33.6,22402,27.1,28.6
01/01/2020 15:00,55.7,34.6,19135,33.6,22371,27.1,29.1
01/01/2020 15:30,57.8,36.3,19208,33.5,22370,27.1,29.9
01/01/2020 16:00,83,30.4,19180,33.5,22353,27.2,30.4
01/01/2020 16:30,83.4,30.3,19168,33.5,22409,27.1,30.1
01/01/2020 17:00,86.4,29.9,19185,33.5,22487,26.9,30.1
01/01/2020 17:30,85.4,29.1,19170,33.5,22506,26.9,29.8
01/01/2020 18:00,90.9,28.6,19156,33.6,22530,26.8,29.7
01/01/2020 18:30,93,27.2,19005,33.9,22414,27,29.1
01/01/2020 19:00,99.9,25.6,19022,33.8,22470,26.9,28.7
01/01/2020 19:30,99.9,24.9,19045,33.8,22548,26.8,28.1
01/01/2020 20:00,99.9,21.3,19014,33.8,22564,26.7,27.4
02/01/2020 09:00,99.9,22.3,19126,33.6,22874,26.1,21.4
02/01/2020 09:30,99.9,23.9,19183,33.5,22909,26.1,21.6
02/01/2020 10:00,99.9,25.8,19230,33.4,22922,26,21.9
02/01/2020 10:30,99.9,26.9,19186,33.5,22873,26.1,22.4
02/01/2020 11:00,99.9,27.6,19160,33.6,22846,26.2,22.9
02/01/2020 11:30,99.9,29.7,19182,33.5,22843,26.2,23.5
